% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.235000000000e+001) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +6.574239492e+002 +6.050739492e+002 +6.050739492e+002 -4.7897e+000 -3.9979e+000 -2.3324e+000 -3.6805e+000 +4.8085e-001 +4.0245e+000 -3.6176e+000 +1.2058e+000 -3.5695e-001 -2.7416e-003 -3.6658e+000 -4.0659e+000 +3.2326e+000 +3.7022e+000 -2.0181e-001 -7.9533e-001 +1.8464e-001 -7.0385e-001 -1.0405e+000 +4.4800e+000
2 0 +1.144983237e+002 +6.214832368e+001 +6.214832368e+001 +4.5053e+000 +7.2438e-001 +4.9793e+000 -1.3538e+000 +4.3573e-001 +2.3367e+000 +1.0967e+000 -4.3069e+000 +8.3041e-001 +2.2887e+000 -7.0432e-001 +5.0008e-001 -1.2107e+000 +1.5015e-001 -1.9559e+000 +5.6054e-001 -4.2782e+000 +4.2913e+000 -5.9599e-001 +1.5345e+000
4 0 +1.075396674e+002 +5.518966745e+001 +5.518966745e+001 -2.4611e+000 +3.1249e+000 -1.3991e+000 +3.3924e+000 -3.2872e+000 -3.7564e+000 +4.8012e+000 -2.2285e+000 -3.5216e+000 -4.0628e+000 +2.3299e+000 -2.7513e+000 -1.8309e+000 +4.6000e+000 -8.7187e-001 +3.3785e+000 +2.5005e+000 -3.3674e+000 -9.5830e-001 -3.4585e+000
8 0 +9.465256932e+001 +4.230256932e+001 +4.230256932e+001 +7.1168e-001 -4.5437e-001 +1.4707e+000 +2.3569e+000 -5.2709e-002 -1.4522e+000 +3.2698e-001 -5.8849e-001 -2.2788e+000 +9.7954e-001 -1.1145e+000 -4.8544e+000 -2.2129e+000 -2.5053e+000 +3.2684e+000 -1.0446e+000 +5.2745e-001 +3.8152e+000 +2.0904e+000 +1.3322e+000
11 0 +5.643067362e+001 +4.080673617e+000 +4.080673617e+000 +9.0547e-001 -1.3032e+000 +4.4071e+000 -1.4650e+000 -1.9732e+000 +1.6603e+000 +4.0116e+000 -3.2604e+000 +4.6999e-001 -4.9344e-002 -2.6539e+000 +2.6536e+000 -1.5800e-001 +2.1475e+000 +2.4594e+000 -1.8291e+000 -2.2370e+000 -2.1921e+000 +2.8536e+000 +1.2455e+000
19 0 +3.803090959e+001 -1.431909041e+001 -1.431909041e+001 +2.6197e-001 -2.3190e-001 +1.1818e+000 -5.8251e-002 -3.1788e+000 +2.9348e+000 -2.6094e+000 -1.2799e+000 +1.5896e+000 +3.0170e+000 +2.2830e+000 +4.1387e+000 +5.1216e-001 -1.4484e+000 +1.9970e+000 -7.4148e-001 -4.8710e-001 +2.9337e+000 +3.9701e-001 -4.0515e+000
23 0 +3.711598393e+001 -1.523401607e+001 -1.523401607e+001 -4.3947e+000 -1.1175e+000 +3.4995e+000 -2.6528e+000 -3.3686e+000 +2.8294e+000 -3.6818e-002 +2.5645e+000 +3.6197e+000 -1.8127e+000 +1.8722e+000 -7.4522e-001 -3.3945e+000 -1.5635e+000 -1.2393e+000 +3.5529e-001 +1.7465e+000 -8.5197e-001 +4.6957e+000 +2.3304e+000
95 0 +3.068209831e+001 -2.166790169e+001 -2.166790169e+001 +6.9895e-001 -2.5814e+000 +4.3090e+000 -5.7890e-001 -1.8207e+000 +4.3939e+000 -5.1666e-001 -3.6777e+000 +3.1985e+000 -4.0261e+000 -3.7158e-001 -2.9460e-001 +3.2020e+000 -3.4997e+000 -1.4034e+000 +4.0602e+000 +2.0849e+000 +1.5638e+000 -7.9521e-001 -3.3642e+000
219 0 +2.044866948e+001 -3.190133052e+001 -3.190133052e+001 +4.7178e-001 -2.6176e+000 +3.2551e+000 +1.6886e+000 -4.8148e+000 +1.1660e+000 +6.8084e-001 -6.9613e-001 +1.1202e+000 -1.7017e+000 +2.8778e+000 +1.3368e+000 +9.4447e-001 -2.2681e+000 -2.1587e+000 -7.1428e-001 +2.6795e-001 +6.7010e-001 +1.5620e+000 -3.0467e+000
420 0 +2.017161755e+001 -3.217838245e+001 -3.217838245e+001 -2.3958e-001 -3.0426e+000 +3.6398e+000 -1.1076e+000 -4.0228e+000 +3.8022e+000 +1.8293e+000 -5.9204e-001 +4.2151e+000 -1.9624e+000 -3.9159e-001 -1.3714e+000 -4.0112e-001 -1.8357e+000 -9.7313e-001 -1.6424e+000 -1.9196e+000 -3.6989e+000 +4.2251e+000 -2.4593e+000
