% f evaluations | g evaluations | best noise-free fitness - Fopt (7.135000000000e+001) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
2505 0 +5.053669838e-008 -3.552199999e+002 -3.552199999e+002 -3.5994e-001 -2.6113e+000
2527 0 +3.790972869e-008 -3.552200000e+002 -3.552200000e+002 -3.5994e-001 -2.6113e+000
2533 0 +1.585306109e-008 -3.552200000e+002 -3.552200000e+002 -3.5999e-001 -2.6113e+000
2541 0 +3.835907592e-009 -3.552200000e+002 -3.552200000e+002 -3.6002e-001 -2.6113e+000
% f evaluations | g evaluations | best noise-free fitness - Fopt (9.917000000000e+001) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.049251684e+002 +3.040951684e+002 +3.040951684e+002 -3.6479e+000 -7.5871e-001
2 0 +5.552304578e+001 +1.546930458e+002 +1.546930458e+002 -4.5290e+000 -4.2365e+000
3 0 +1.511372291e+001 +1.142837229e+002 +1.142837229e+002 -2.6285e+000 -1.6916e+000
27 0 +1.416322288e+001 +1.133332229e+002 +1.133332229e+002 -2.6294e+000 -1.6964e+000
31 0 +1.015265882e+001 +1.093226588e+002 +1.093226588e+002 -4.0186e+000 -2.7517e+000
36 0 +9.130873385e+000 +1.083008734e+002 +1.083008734e+002 +1.4682e+000 -3.7370e+000
54 0 +2.017737148e+000 +1.011877371e+002 +1.011877371e+002 -8.6596e-001 -3.9488e+000
300 0 +1.729254253e+000 +1.008992543e+002 +1.008992543e+002 -5.8294e-001 -4.5129e+000
369 0 +5.783400769e-001 +9.974834008e+001 +9.974834008e+001 -7.4058e-001 -4.2592e+000
398 0 +2.198968180e-001 +9.938989682e+001 +9.938989682e+001 +7.6603e-001 -4.6365e+000
400 0 +8.388383834e-002 +9.925388384e+001 +9.925388384e+001 +8.8885e-001 -4.7966e+000
449 0 +1.258819246e-002 +9.918258819e+001 +9.918258819e+001 +9.0977e-001 -4.8181e+000
503 0 +9.706519743e-003 +9.917970652e+001 +9.917970652e+001 +9.3602e-001 -4.8569e+000
506 0 +7.109179889e-003 +9.917710918e+001 +9.917710918e+001 +9.3475e-001 -4.8526e+000
508 0 +1.557090431e-003 +9.917155709e+001 +9.917155709e+001 +9.2372e-001 -4.8444e+000
524 0 +1.774226426e-005 +9.917001774e+001 +9.917001774e+001 +9.2732e-001 -4.8486e+000
576 0 +7.377252857e-006 +9.917000738e+001 +9.917000738e+001 +9.2832e-001 -4.8501e+000
600 0 +6.155986526e-006 +9.917000616e+001 +9.917000616e+001 +9.2806e-001 -4.8497e+000
603 0 +2.890038985e-006 +9.917000289e+001 +9.917000289e+001 +9.2752e-001 -4.8489e+000
638 0 +2.118330485e-006 +9.917000212e+001 +9.917000212e+001 +9.2748e-001 -4.8488e+000
647 0 +1.497968071e-006 +9.917000150e+001 +9.917000150e+001 +9.2752e-001 -4.8489e+000
648 0 +1.675075225e-007 +9.917000017e+001 +9.917000017e+001 +9.2763e-001 -4.8490e+000
670 0 +1.438934305e-008 +9.917000001e+001 +9.917000001e+001 +9.2760e-001 -4.8489e+000
678 0 +6.094850846e-009 +9.917000001e+001 +9.917000001e+001 +9.2765e-001 -4.8490e+000
