% f evaluations | g evaluations | best noise-free fitness - Fopt (4.078000000000e+001) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1372 0 +3.209772637e+000 +4.398977264e+001 +4.398977264e+001 +3.1821e+000 +2.5154e+000 -5.4066e-001 +2.3621e+000 +7.0920e-002 -1.6712e+000 -1.3757e-001 -4.0393e+000 +1.3536e+000 +8.1528e-001
1526 0 +2.896807608e+000 +4.367680761e+001 +4.367680761e+001 +3.8875e+000 +2.0723e+000 -2.4893e-001 +1.9044e+000 +2.4124e-001 -1.9603e+000 -2.9949e-002 -3.9364e+000 +1.4023e+000 +1.5426e+000
1604 0 +2.755202219e+000 +4.353520222e+001 +4.353520222e+001 +3.4622e+000 +2.3191e+000 -6.7347e-002 +2.4551e+000 +2.3677e-001 -1.5513e+000 -1.8764e-001 -4.0542e+000 +1.4269e+000 +2.8354e-001
1641 0 +2.720016078e+000 +4.350001608e+001 +4.350001608e+001 +2.9315e+000 +2.1415e+000 -6.0799e-001 +2.4691e+000 -1.1162e-001 -1.1561e+000 -1.0284e-001 -3.5811e+000 +1.0408e+000 +6.3140e-001
1724 0 +2.495062139e+000 +4.327506214e+001 +4.327506214e+001 +3.5637e+000 +1.9694e+000 -2.9364e-001 +2.2540e+000 +3.6811e-001 -1.4872e+000 -1.8764e-001 -3.9419e+000 +1.5448e+000 +4.9110e-001
1884 0 +2.415978107e+000 +4.319597811e+001 +4.319597811e+001 +3.5161e+000 +1.9914e+000 -3.9289e-001 +2.2531e+000 +3.1072e-001 -1.5124e+000 -2.0135e-001 -3.9146e+000 +1.4525e+000 +7.0561e-001
1911 0 +2.358760598e+000 +4.313876060e+001 +4.313876060e+001 +3.2443e+000 +2.1208e+000 -1.9024e-001 +2.0666e+000 -1.1810e-001 -1.4803e+000 +2.6836e-002 -3.8924e+000 +9.3534e-001 +3.0709e-001
2036 0 +2.339097056e+000 +4.311909706e+001 +4.311909706e+001 +3.4240e+000 +2.1714e+000 -1.9785e-001 +2.2197e+000 +9.6930e-002 -1.4959e+000 -1.6356e-001 -3.8765e+000 +1.1781e+000 +5.3944e-001
2230 0 +2.273780849e+000 +4.305378085e+001 +4.305378085e+001 +3.1944e+000 +2.2436e+000 -2.0426e-001 +2.1247e+000 -2.6630e-001 -1.3882e+000 +6.4851e-002 -3.7087e+000 +9.0675e-001 +6.4671e-001
13357 0 +2.222958795e+000 +4.300295879e+001 +4.300295879e+001 +4.8208e+000 +7.3300e-001 -3.9505e+000 +6.9860e-001 -1.0885e+000 +5.3362e-001 -3.5059e+000 -3.8733e+000 +1.9144e+000 +2.9062e+000
13366 0 +1.293898433e+000 +4.207389843e+001 +4.207389843e+001 +4.3044e+000 +9.7809e-001 -3.6207e+000 +1.5885e-001 -1.0861e+000 +2.5798e-001 -3.3684e+000 -4.4926e+000 +2.0918e+000 +2.6477e+000
13472 0 +1.267481564e+000 +4.204748156e+001 +4.204748156e+001 +4.2316e+000 +9.3502e-001 -3.6640e+000 +1.8627e-001 -1.0441e+000 +1.6085e-001 -3.3711e+000 -4.4154e+000 +2.0446e+000 +2.5928e+000
13682 0 +1.255328192e+000 +4.203532819e+001 +4.203532819e+001 +4.2440e+000 +8.9454e-001 -3.6364e+000 +2.0749e-001 -1.0890e+000 +1.8344e-001 -3.3712e+000 -4.5151e+000 +2.0419e+000 +2.6619e+000
40878 0 +9.758891286e-001 +4.175588913e+001 +4.175588913e+001 -2.7959e+000 -1.3148e+000 +2.9455e+000 -1.9621e+000 -3.2830e+000 +9.1030e-001 -1.8361e+000 -1.9184e+000 +2.0370e+000 -3.0392e+000
41217 0 +1.116898406e-001 +4.089168984e+001 +4.089168984e+001 -2.9033e+000 -1.9150e+000 +4.4951e+000 -2.4421e+000 -3.9631e+000 +6.5882e-001 -3.0226e+000 -1.7998e+000 +3.1483e+000 -3.8881e+000
41221 0 +4.211529896e-003 +4.078421153e+001 +4.078421153e+001 -2.8565e+000 -1.5035e+000 +3.7555e+000 -2.2462e+000 -3.3105e+000 +7.1064e-001 -2.4217e+000 -2.1900e+000 +2.7322e+000 -3.0744e+000
41964 0 +3.595847133e-003 +4.078359585e+001 +4.078359585e+001 -2.5536e+000 -1.5605e+000 +3.8521e+000 -2.1048e+000 -3.8035e+000 +7.3186e-001 -2.8645e+000 -2.2453e+000 +2.7410e+000 -3.2212e+000
42162 0 +1.115444595e-003 +4.078111544e+001 +4.078111544e+001 -2.6496e+000 -1.6958e+000 +4.1498e+000 -2.0864e+000 -3.6215e+000 +7.8477e-001 -2.5918e+000 -2.0079e+000 +2.9604e+000 -3.2790e+000
