% f evaluations | g evaluations | best noise-free fitness - Fopt (-4.620900000000e+002) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
50 0 +2.972859980e+001 +1.073885998e+002 +1.073885998e+002 +3.6967e-001 +1.0035e+000 +6.7491e-001
103 0 +2.197203316e+001 +9.963203316e+001 +9.963203316e+001 -7.5706e-001 -3.8299e-001 +5.8578e-001
153 0 +1.594699008e+001 +9.360699008e+001 +9.360699008e+001 -6.2439e-001 -2.9160e-001 +6.0116e-001
286 0 +1.462417477e+001 +9.228417477e+001 +9.228417477e+001 -6.9822e-001 -8.7501e-001 +6.1230e-001
346 0 +1.419375420e+001 +9.185375420e+001 +9.185375420e+001 -6.9822e-001 -8.6051e-001 +6.0893e-001
352 0 +1.327740116e+001 +9.093740116e+001 +9.093740116e+001 -6.4493e-001 -8.6098e-001 +5.9963e-001
443 0 +1.296881929e+001 +9.062881929e+001 +9.062881929e+001 -6.4907e-001 -8.6255e-001 +5.8324e-001
1168 0 +9.325365852e+000 +8.698536585e+001 +8.698536585e+001 +1.3370e+000 -1.4659e+000 +9.1829e-001
1183 0 +7.356528222e+000 +8.501652822e+001 +8.501652822e+001 +5.0154e-001 -8.3810e-001 +1.2356e+000
1307 0 +7.070355589e+000 +8.473035559e+001 +8.473035559e+001 +1.3036e+000 -3.3660e-001 +9.6266e-001
1480 0 +4.602151692e+000 +8.226215169e+001 +8.226215169e+001 +1.4331e+000 -8.2160e-001 +1.2370e+000
1536 0 +3.988948465e+000 +8.164894847e+001 +8.164894847e+001 +1.4331e+000 -8.5276e-001 +1.2370e+000
1653 0 +2.473251904e+000 +8.013325190e+001 +8.013325190e+001 +1.4157e+000 -8.3294e-001 +1.2487e+000
1673 0 +1.799190178e+000 +7.945919018e+001 +7.945919018e+001 +1.4116e+000 -8.2126e-001 +1.2629e+000
1709 0 +1.708909950e+000 +7.936890995e+001 +7.936890995e+001 +1.4086e+000 -8.8766e-001 +1.2687e+000
1721 0 +1.341564257e+000 +7.900156426e+001 +7.900156426e+001 +1.3966e+000 -8.7714e-001 +1.2668e+000
1853 0 +1.100977699e+000 +7.876097770e+001 +7.876097770e+001 +1.4056e+000 -8.5610e-001 +1.2643e+000
