% f evaluations | g evaluations | best noise-free fitness - Fopt (1.238300000000e+002) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1954 0 +4.589708065e-001 +1.242889708e+002 +1.242889708e+002 +9.7973e-002 +1.0862e-001 +5.4547e-001 +2.9374e-001 -6.8100e-002
1990 0 +3.928864641e-001 +1.242228865e+002 +1.242228865e+002 +9.2585e-002 +8.5660e-002 +5.4552e-001 +2.9390e-001 -7.1848e-002
2010 0 +2.566669000e-001 +1.240866669e+002 +1.240866669e+002 +1.2649e-001 -2.9087e-004 +5.9685e-001 +2.4904e-001 -3.2120e-002
2086 0 +2.046541923e-001 +1.240346542e+002 +1.240346542e+002 +2.5680e-001 -2.4291e-001 +7.1475e-001 +1.2375e-001 +8.9990e-002
2134 0 +1.918188453e-001 +1.240218188e+002 +1.240218188e+002 +2.0216e-001 -1.3718e-001 +6.6796e-001 +1.9032e-001 +1.7280e-002
2146 0 +1.824132690e-001 +1.240124133e+002 +1.240124133e+002 +2.0531e-001 -1.4147e-001 +6.5740e-001 +1.7398e-001 +2.5072e-002
2153 0 +1.647627380e-001 +1.239947627e+002 +1.239947627e+002 +1.9619e-001 -1.5653e-001 +6.6639e-001 +1.8700e-001 +2.6046e-002
2196 0 +1.444632935e-001 +1.239744633e+002 +1.239744633e+002 +2.3698e-001 -1.9093e-001 +6.9042e-001 +1.5946e-001 +4.8707e-002
2246 0 +9.699515781e-002 +1.239269952e+002 +1.239269952e+002 +2.5997e-001 -2.5492e-001 +7.2041e-001 +1.2903e-001 +8.3264e-002
2272 0 +6.735950913e-002 +1.238973595e+002 +1.238973595e+002 +2.8501e-001 -3.0129e-001 +7.3231e-001 +1.0202e-001 +1.0263e-001
2359 0 +5.668599788e-002 +1.238866860e+002 +1.238866860e+002 +3.2768e-001 -3.7015e-001 +7.5087e-001 +5.6330e-002 +1.3431e-001
2375 0 +3.305463006e-002 +1.238630546e+002 +1.238630546e+002 +3.2509e-001 -3.6235e-001 +7.4611e-001 +6.0170e-002 +1.3539e-001
2423 0 +2.374433177e-002 +1.238537443e+002 +1.238537443e+002 +3.6497e-001 -4.1141e-001 +7.6218e-001 +2.1540e-002 +1.6495e-001
2549 0 +1.837141824e-002 +1.238483714e+002 +1.238483714e+002 +3.8783e-001 -4.6100e-001 +7.7901e-001 -3.9210e-003 +1.9138e-001
2583 0 +1.629469536e-002 +1.238462947e+002 +1.238462947e+002 +3.7457e-001 -4.2884e-001 +7.6945e-001 +1.1739e-002 +1.7460e-001
2714 0 +4.730776147e-003 +1.238347308e+002 +1.238347308e+002 +4.2949e-001 -5.1732e-001 +7.9509e-001 -4.4498e-002 +2.2658e-001
2740 0 +4.094203292e-003 +1.238340942e+002 +1.238340942e+002 +4.2274e-001 -5.0607e-001 +7.9218e-001 -3.7262e-002 +2.1999e-001
2771 0 +2.124612803e-003 +1.238321246e+002 +1.238321246e+002 +4.4074e-001 -5.2830e-001 +7.9781e-001 -5.5389e-002 +2.3636e-001
2899 0 +7.487527439e-004 +1.238307488e+002 +1.238307488e+002 +4.4467e-001 -5.3489e-001 +7.9978e-001 -5.8816e-002 +2.3898e-001
2935 0 +6.661363447e-004 +1.238306661e+002 +1.238306661e+002 +4.4864e-001 -5.4010e-001 +8.0095e-001 -6.3067e-002 +2.4262e-001
3028 0 +1.045644447e-004 +1.238301046e+002 +1.238301046e+002 +4.5868e-001 -5.5436e-001 +8.0417e-001 -7.2534e-002 +2.5144e-001
3212 0 +9.049766709e-005 +1.238300905e+002 +1.238300905e+002 +4.5704e-001 -5.5174e-001 +8.0326e-001 -7.1088e-002 +2.4973e-001
3249 0 +3.050863609e-005 +1.238300305e+002 +1.238300305e+002 +4.6605e-001 -5.6478e-001 +8.0673e-001 -8.0038e-002 +2.5771e-001
3295 0 +8.136150527e-006 +1.238300081e+002 +1.238300081e+002 +4.6489e-001 -5.6309e-001 +8.0656e-001 -7.8780e-002 +2.5654e-001
3301 0 +7.578537279e-006 +1.238300076e+002 +1.238300076e+002 +4.6491e-001 -5.6311e-001 +8.0656e-001 -7.8800e-002 +2.5655e-001
3305 0 +2.862774920e-006 +1.238300029e+002 +1.238300029e+002 +4.6411e-001 -5.6194e-001 +8.0622e-001 -7.8025e-002 +2.5580e-001
3363 0 +6.694945114e-007 +1.238300007e+002 +1.238300007e+002 +4.6324e-001 -5.6071e-001 +8.0578e-001 -7.7243e-002 +2.5508e-001
3545 0 +4.030515868e-007 +1.238300004e+002 +1.238300004e+002 +4.6351e-001 -5.6109e-001 +8.0591e-001 -7.7492e-002 +2.5533e-001
3555 0 +3.053067701e-007 +1.238300003e+002 +1.238300003e+002 +4.6375e-001 -5.6143e-001 +8.0602e-001 -7.7717e-002 +2.5551e-001
3567 0 +1.269884251e-007 +1.238300001e+002 +1.238300001e+002 +4.6335e-001 -5.6088e-001 +8.0585e-001 -7.7330e-002 +2.5518e-001
3627 0 +3.740099430e-008 +1.238300000e+002 +1.238300000e+002 +4.6328e-001 -5.6079e-001 +8.0584e-001 -7.7268e-002 +2.5512e-001
3634 0 +2.633912288e-008 +1.238300000e+002 +1.238300000e+002 +4.6330e-001 -5.6083e-001 +8.0585e-001 -7.7293e-002 +2.5514e-001
3678 0 +3.187082598e-009 +1.238300000e+002 +1.238300000e+002 +4.6336e-001 -5.6091e-001 +8.0587e-001 -7.7348e-002 +2.5519e-001
% f evaluations | g evaluations | best noise-free fitness - Fopt (4.751000000000e+001) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.355626225e+003 +2.403136225e+003 +2.403136225e+003 -1.0103e+000 -6.7337e-001 +2.5315e+000 +9.2900e-001 +1.2621e+000
25 0 +4.146603674e+002 +4.621703674e+002 +4.621703674e+002 +2.1298e+000 -3.0064e-001 +1.7705e-001 +6.3954e-001 -1.4778e+000
151 0 +1.940260008e+002 +2.415360008e+002 +2.415360008e+002 +1.1188e-001 -1.9565e-001 +9.5634e-001 -2.0990e-001 +8.2071e-001
235 0 +1.877093459e+002 +2.352193459e+002 +2.352193459e+002 +1.9299e+000 +1.9496e-001 +6.4418e-001 -6.6616e-001 +5.8273e-001
237 0 +1.700164513e+002 +2.175264513e+002 +2.175264513e+002 +1.5415e+000 +3.4068e-002 +2.0909e-001 -2.4062e-002 -7.4985e-001
280 0 +1.188089495e+002 +1.663189495e+002 +1.663189495e+002 +8.4654e-001 +8.0687e-002 +8.8972e-001 +7.4703e-002 -6.3119e-001
287 0 +3.806812291e+001 +8.557812291e+001 +8.557812291e+001 -8.0564e-001 +3.4068e-002 -1.3555e-002 -2.4062e-002 -1.4863e-001
366 0 +3.023751900e+001 +7.774751900e+001 +7.774751900e+001 +6.3231e-001 -8.4919e-001 -2.8881e-001 +4.9093e-001 -4.4021e-001
416 0 +2.692621476e+001 +7.443621476e+001 +7.443621476e+001 +6.3231e-001 -8.8388e-001 -2.8881e-001 +4.4282e-001 -4.4021e-001
492 0 +9.104230836e+000 +5.661423084e+001 +5.661423084e+001 -8.0599e-001 +2.2078e-001 +2.8738e-001 +2.0316e-001 -5.0075e-002
555 0 +6.407316430e+000 +5.391731643e+001 +5.391731643e+001 -5.2959e-001 -9.9906e-003 +5.0423e-001 +3.9516e-001 +7.0754e-002
792 0 +3.762459351e+000 +5.127245935e+001 +5.127245935e+001 -6.5196e-001 -5.0797e-003 +4.5702e-001 +3.2939e-001 -7.7556e-002
851 0 +3.632803263e+000 +5.114280326e+001 +5.114280326e+001 -4.7245e-001 -2.8397e-001 +7.3076e-001 +3.7267e-001 -1.5362e-001
995 0 +3.479884321e+000 +5.098988432e+001 +5.098988432e+001 -4.6166e-001 -2.7152e-001 +6.9428e-001 +3.9295e-001 -1.1489e-001
1107 0 +3.420529369e+000 +5.093052937e+001 +5.093052937e+001 -5.4239e-001 -1.7712e-001 +6.0427e-001 +3.4187e-001 -1.1583e-001
1154 0 +2.966421306e+000 +5.047642131e+001 +5.047642131e+001 -5.6866e-001 -2.3461e-002 +5.0714e-001 +3.3664e-001 -2.7036e-002
1325 0 +2.909445664e+000 +5.041944566e+001 +5.041944566e+001 -5.5203e-001 -3.1263e-002 +4.6294e-001 +2.6197e-001 -5.4323e-002
1332 0 +2.561090842e+000 +5.007109084e+001 +5.007109084e+001 -6.0472e-001 +3.3590e-002 +4.2344e-001 +2.2218e-001 -1.8627e-002
1355 0 +2.273913422e+000 +4.978391342e+001 +4.978391342e+001 -6.0520e-001 +3.8448e-002 +3.0987e-001 +2.3602e-001 +1.4059e-002
